"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1WVCB0019","2020-08-13","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","    0",",,N","    0",",,N","    0",",,N","    0",",,N","    0",",,N"
"US1WVCB0019","2020-08-14","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","  152",",,N","    0",",,N","    0",",,N","    0",",,N","    0",",,N"
"US1WVCB0019","2020-08-15","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","  127",",,N","    0",",,N","    0",",,N","    0",",,N","    0",",,N"
"US1WVCB0019","2020-08-16","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","   81",",,N","    0",",,N","    0",",,N","    0",",,N","    0",",,N"
"US1WVCB0019","2020-08-17","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","  127",",,N","    0",",,N","    0",",,N","    0",",,N","    0",",,N"
"US1WVCB0019","2020-08-18","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","    0",",,N","    0",",,N","    0",",,N","    0",",,N","    0",",,N"
"US1WVCB0019","2020-08-19","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","  312",",,N","    0",",,N","    0",",,N","    0",",,N","    0",",,N"
"US1WVCB0019","2020-08-20","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","    0",",,N","    0",",,N","    0",",,N","    0",",,N","    0",",,N"
"US1WVCB0019","2020-08-21","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","   15",",,N","    0",",,N","    0",",,N","    0",",,N","    0",",,N"
"US1WVCB0019","2020-08-22","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","    0",",,N","    0",",,N","    0",",,N","    0",",,N","    0",",,N"
"US1WVCB0019","2020-08-23","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","  163",",,N","    0",",,N","    0",",,N","    0",",,N","    0",",,N"
"US1WVCB0019","2020-08-24","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","    0",",,N","    0",",,N","    0",",,N","    0",",,N","    0",",,N"
"US1WVCB0019","2020-08-25","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVCB0019","2020-08-26","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","  104",",,N",,,,,,,,
"US1WVCB0019","2020-08-27","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVCB0019","2020-08-28","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVCB0019","2020-08-29","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","  160",",,N",,,,,,,,
"US1WVCB0019","2020-08-30","38.4141","-82.076","210.9","CULLODEN 0.5 WSW, WV US","    0",",,N","    0",",,N",,,,,,
